event_id,order_id,line_item_id,product_id,quantity,unit_price,line_total,event_timestamp,ingested_at
1,1,1,814,1,582.31,582.31,2025-01-01T08:24:00,2025-01-01T08:26:00
2,1,2,881,5,98.64,493.22,2025-01-01T08:04:00,2025-01-01T08:06:00
3,2,1,467,2,223.62,447.24,2025-01-01T08:12:00,2025-01-01T08:13:00
4,2,2,847,10,72.03,720.35,2025-01-01T08:08:00,2025-01-01T08:09:00
5,3,1,180,2,256.44,512.89,2025-01-01T08:29:00,2025-01-01T08:33:00
6,3,2,691,10,56.24,562.41,2025-01-01T08:28:00,2025-01-01T08:31:00
7,3,3,891,2,185.04,370.09,2025-01-01T08:01:00,2025-01-01T08:03:00
8,3,4,987,2,211.0,422.0,2025-01-01T08:27:00,2025-01-01T08:29:00
9,4,1,266,5,64.26,321.29,2025-01-01T08:14:00,2025-01-01T08:17:00
10,4,2,818,4,116.3,465.19,2025-01-01T08:21:00,2025-01-01T08:24:00
11,4,3,646,2,384.01,768.02,2025-01-01T08:19:00,2025-01-01T08:21:00
12,5,1,376,3,219.03,657.08,2025-01-01T08:14:00,2025-01-01T08:18:00
13,5,2,963,9,88.48,796.28,2025-01-01T08:07:00,2025-01-01T08:10:00
14,5,3,924,1,678.02,678.02,2025-01-01T08:07:00,2025-01-01T08:08:00
15,6,1,680,5,87.19,435.93,2025-01-01T08:02:00,2025-01-01T08:04:00
16,6,2,505,6,122.63,735.79,2025-01-01T08:06:00,2025-01-01T08:10:00
17,6,3,242,8,92.53,740.24,2025-01-01T08:04:00,2025-01-01T08:07:00
18,7,1,864,9,44.35,399.14,2025-01-01T08:17:00,2025-01-01T08:20:00
19,7,2,324,10,57.98,579.8,2025-01-01T08:12:00,2025-01-01T08:15:00
20,8,1,193,3,266.82,800.46,2025-01-01T08:16:00,2025-01-01T08:20:00
21,8,2,911,2,335.66,671.32,2025-01-01T08:04:00,2025-01-01T08:06:00
22,9,1,490,10,63.11,631.07,2025-01-01T08:02:00,2025-01-01T08:06:00
23,9,2,666,8,73.23,585.85,2025-01-01T08:16:00,2025-01-01T08:19:00
24,9,3,798,1,727.46,727.46,2025-01-01T08:21:00,2025-01-01T08:22:00
25,9,4,214,5,148.06,740.29,2025-01-01T08:24:00,2025-01-01T08:27:00
26,9,5,839,3,141.4,424.2,2025-01-01T08:14:00,2025-01-01T08:15:00
27,10,1,619,5,147.1,735.51,2025-01-01T08:16:00,2025-01-01T08:18:00
28,10,2,723,5,151.04,755.18,2025-01-01T08:26:00,2025-01-01T08:31:00
29,11,1,652,6,62.27,373.63,2025-01-01T08:24:00,2025-01-01T08:26:00
30,11,2,713,9,86.34,777.03,2025-01-01T08:29:00,2025-01-01T08:30:00
31,12,1,999,1,440.58,440.58,2025-01-01T08:03:00,2025-01-01T08:06:00
32,12,2,346,5,158.81,794.04,2025-01-01T08:07:00,2025-01-01T08:08:00
33,13,1,935,2,368.33,736.67,2025-01-01T08:02:00,2025-01-01T08:06:00
34,13,2,231,9,33.81,304.3,2025-01-01T08:24:00,2025-01-01T08:26:00
35,13,3,640,9,68.89,619.99,2025-01-01T08:05:00,2025-01-01T08:08:00
36,14,1,652,7,104.81,733.69,2025-01-01T08:30:00,2025-01-01T08:32:00
37,14,2,508,4,167.76,671.05,2025-01-01T08:22:00,2025-01-01T08:25:00
38,14,3,562,6,133.22,799.29,2025-01-01T08:14:00,2025-01-01T08:19:00
39,14,4,121,4,83.0,331.98,2025-01-01T08:02:00,2025-01-01T08:05:00
40,14,5,107,4,145.45,581.8,2025-01-01T08:18:00,2025-01-01T08:20:00
41,15,1,132,1,305.25,305.25,2025-01-01T08:07:00,2025-01-01T08:08:00
42,15,2,385,2,363.43,726.85,2025-01-01T08:16:00,2025-01-01T08:18:00
43,15,3,840,4,156.23,624.92,2025-01-01T08:17:00,2025-01-01T08:19:00
44,15,4,348,10,76.74,767.41,2025-01-01T08:18:00,2025-01-01T08:22:00
45,15,5,199,7,98.11,686.74,2025-01-01T08:06:00,2025-01-01T08:07:00
46,16,1,578,6,103.26,619.58,2025-01-01T08:13:00,2025-01-01T08:17:00
47,16,2,162,1,729.09,729.09,2025-01-01T08:21:00,2025-01-01T08:22:00
48,16,3,354,6,80.42,482.53,2025-01-01T08:25:00,2025-01-01T08:26:00
49,16,4,532,9,41.08,369.71,2025-01-01T08:14:00,2025-01-01T08:16:00
50,16,5,553,8,45.67,365.38,2025-01-01T08:07:00,2025-01-01T08:08:00
51,17,1,767,9,77.69,699.25,2025-01-01T08:03:00,2025-01-01T08:04:00
52,17,2,270,1,801.5,801.5,2025-01-01T08:02:00,2025-01-01T08:04:00
53,17,3,160,8,60.57,484.56,2025-01-01T08:06:00,2025-01-01T08:10:00
54,17,4,902,1,355.31,355.31,2025-01-01T08:12:00,2025-01-01T08:15:00
55,17,5,777,5,137.4,687.01,2025-01-01T08:13:00,2025-01-01T08:18:00
56,18,1,322,3,217.12,651.35,2025-01-01T08:06:00,2025-01-01T08:09:00
57,18,2,162,10,78.52,785.15,2025-01-01T08:23:00,2025-01-01T08:28:00
58,18,3,588,1,667.16,667.16,2025-01-01T08:01:00,2025-01-01T08:06:00
59,18,4,620,9,59.57,536.11,2025-01-01T08:05:00,2025-01-01T08:06:00
60,18,5,169,3,103.37,310.12,2025-01-01T08:02:00,2025-01-01T08:07:00
61,19,1,683,4,157.06,628.26,2025-01-01T08:12:00,2025-01-01T08:13:00
62,19,2,183,10,39.89,398.92,2025-01-01T08:01:00,2025-01-01T08:06:00
63,19,3,423,10,49.14,491.41,2025-01-01T08:18:00,2025-01-01T08:23:00
64,19,4,344,4,191.74,766.97,2025-01-01T08:21:00,2025-01-01T08:24:00
65,19,5,568,3,136.43,409.29,2025-01-01T08:21:00,2025-01-01T08:24:00
66,20,1,736,2,218.16,436.32,2025-01-01T08:00:00,2025-01-01T08:04:00
67,20,2,318,2,400.53,801.06,2025-01-01T08:02:00,2025-01-01T08:07:00
68,20,3,170,3,179.25,537.74,2025-01-01T08:29:00,2025-01-01T08:32:00
69,20,4,548,6,122.89,737.34,2025-01-01T08:09:00,2025-01-01T08:11:00
70,20,5,108,5,142.6,713.0,2025-01-01T08:19:00,2025-01-01T08:24:00
